seat_number,seat_coordinates,snapshot,Snapshot status,Snapshot Time
1,"[345, 494, 492, 677]",snapshot_1,Present,01-08-2024 09:53
2,"[332, 496, 721, 951]",snapshot_1,Present,01-08-2024 09:53
3,"[315, 448, 966, 1146]",snapshot_1,Present,01-08-2024 09:53
4,"[300, 442, 1148, 1324]",snapshot_1,Present,01-08-2024 09:53
5,"[182, 285, 510, 648]",snapshot_1,Present,01-08-2024 09:54
6,"[172, 277, 660, 802]",snapshot_1,Present,01-08-2024 09:54
7,"[152, 260, 839, 958]",snapshot_1,Present,01-08-2024 09:54
8,"[142, 258, 986, 1114]",snapshot_1,Absent,01-08-2024 09:54
9,"[144, 256, 1125, 1229]",snapshot_1,Present,01-08-2024 09:54
10,"[156, 257, 1220, 1334]",snapshot_1,Present,01-08-2024 09:54
11,"[56, 155, 505, 594]",snapshot_1,Present,01-08-2024 09:54
12,"[50, 145, 619, 714]",snapshot_1,Present,01-08-2024 09:54
13,"[69, 143, 734, 832]",snapshot_1,Present,01-08-2024 09:54
14,"[65, 154, 836, 953]",snapshot_1,Present,01-08-2024 09:55
15,"[58, 142, 982, 1078]",snapshot_1,Present,01-08-2024 09:55
16,"[58, 144, 1098, 1184]",snapshot_1,Present,01-08-2024 09:55
17,"[71, 153, 1200, 1299]",snapshot_1,Present,01-08-2024 09:55
18,"[81, 157, 1319, 1399]",snapshot_1,Present,01-08-2024 09:55
19,"[3, 56, 501, 595]",snapshot_1,Present,01-08-2024 09:55
20,"[2, 56, 609, 697]",snapshot_1,Present,01-08-2024 09:55
21,"[1, 61, 720, 804]",snapshot_1,Present,01-08-2024 09:55
22,"[1, 56, 833, 912]",snapshot_1,Present,01-08-2024 09:55
23,"[0, 58, 931, 1013]",snapshot_1,Absent,01-08-2024 09:55
24,"[2, 60, 1029, 1109]",snapshot_1,Absent,01-08-2024 09:56
25,"[1, 74, 1131, 1199]",snapshot_1,Present,01-08-2024 09:56
26,"[21, 72, 1132, 1199]",snapshot_1,Present,01-08-2024 09:56
27,"[21, 78, 1205, 1261]",snapshot_1,Present,01-08-2024 09:56
28,"[36, 97, 1285, 1340]",snapshot_1,Absent,01-08-2024 09:56
1,"[345, 494, 492, 677]",snapshot_2,Present,01-08-2024 10:06
2,"[332, 496, 721, 951]",snapshot_2,Present,01-08-2024 10:06
3,"[315, 448, 966, 1146]",snapshot_2,Present,01-08-2024 10:06
4,"[300, 442, 1148, 1324]",snapshot_2,Present,01-08-2024 10:06
5,"[182, 285, 510, 648]",snapshot_2,Present,01-08-2024 10:06
6,"[172, 277, 660, 802]",snapshot_2,Present,01-08-2024 10:07
7,"[152, 260, 839, 958]",snapshot_2,Present,01-08-2024 10:07
8,"[142, 258, 986, 1114]",snapshot_2,Present,01-08-2024 10:07
9,"[144, 256, 1125, 1229]",snapshot_2,Present,01-08-2024 10:07
10,"[156, 257, 1220, 1334]",snapshot_2,Absent,01-08-2024 10:07
11,"[56, 155, 505, 594]",snapshot_2,Absent,01-08-2024 10:07
12,"[50, 145, 619, 714]",snapshot_2,Present,01-08-2024 10:07
13,"[69, 143, 734, 832]",snapshot_2,Present,01-08-2024 10:07
14,"[65, 154, 836, 953]",snapshot_2,Present,01-08-2024 10:07
15,"[58, 142, 982, 1078]",snapshot_2,Present,01-08-2024 10:07
16,"[58, 144, 1098, 1184]",snapshot_2,Present,01-08-2024 10:07
17,"[71, 153, 1200, 1299]",snapshot_2,Present,01-08-2024 10:07
18,"[81, 157, 1319, 1399]",snapshot_2,Present,01-08-2024 10:07
19,"[3, 56, 501, 595]",snapshot_2,Present,01-08-2024 10:07
20,"[2, 56, 609, 697]",snapshot_2,Present,01-08-2024 10:07
21,"[1, 61, 720, 804]",snapshot_2,Present,01-08-2024 10:07
22,"[1, 56, 833, 912]",snapshot_2,Present,01-08-2024 10:07
23,"[0, 58, 931, 1013]",snapshot_2,Present,01-08-2024 10:07
24,"[2, 60, 1029, 1109]",snapshot_2,Present,01-08-2024 10:07
25,"[1, 74, 1131, 1199]",snapshot_2,Present,01-08-2024 10:07
26,"[21, 72, 1132, 1199]",snapshot_2,Present,01-08-2024 10:07
27,"[21, 78, 1205, 1261]",snapshot_2,Present,01-08-2024 10:07
28,"[36, 97, 1285, 1340]",snapshot_2,Absent,01-08-2024 10:07
1,"[345, 494, 492, 677]",snapshot_3,Present,01-08-2024 10:13
2,"[332, 496, 721, 951]",snapshot_3,Present,01-08-2024 10:13
3,"[315, 448, 966, 1146]",snapshot_3,Present,01-08-2024 10:13
4,"[300, 442, 1148, 1324]",snapshot_3,Present,01-08-2024 10:13
5,"[182, 285, 510, 648]",snapshot_3,Present,01-08-2024 10:13
6,"[172, 277, 660, 802]",snapshot_3,Present,01-08-2024 10:13
7,"[152, 260, 839, 958]",snapshot_3,Present,01-08-2024 10:13
8,"[142, 258, 986, 1114]",snapshot_3,Present,01-08-2024 10:13
9,"[144, 256, 1125, 1229]",snapshot_3,Present,01-08-2024 10:13
10,"[156, 257, 1220, 1334]",snapshot_3,Present,01-08-2024 10:13
11,"[56, 155, 505, 594]",snapshot_3,Present,01-08-2024 10:13
12,"[50, 145, 619, 714]",snapshot_3,Present,01-08-2024 10:13
13,"[69, 143, 734, 832]",snapshot_3,Present,01-08-2024 10:13
14,"[65, 154, 836, 953]",snapshot_3,Present,01-08-2024 10:13
15,"[58, 142, 982, 1078]",snapshot_3,Present,01-08-2024 10:13
16,"[58, 144, 1098, 1184]",snapshot_3,Present,01-08-2024 10:13
17,"[71, 153, 1200, 1299]",snapshot_3,Present,01-08-2024 10:13
18,"[81, 157, 1319, 1399]",snapshot_3,Present,01-08-2024 10:13
19,"[3, 56, 501, 595]",snapshot_3,Present,01-08-2024 10:13
20,"[2, 56, 609, 697]",snapshot_3,Present,01-08-2024 10:13
21,"[1, 61, 720, 804]",snapshot_3,Present,01-08-2024 10:13
22,"[1, 56, 833, 912]",snapshot_3,Present,01-08-2024 10:13
23,"[0, 58, 931, 1013]",snapshot_3,Present,01-08-2024 10:13
24,"[2, 60, 1029, 1109]",snapshot_3,Present,01-08-2024 10:13
25,"[1, 74, 1131, 1199]",snapshot_3,Present,01-08-2024 10:13
26,"[21, 72, 1132, 1199]",snapshot_3,Present,01-08-2024 10:13
27,"[21, 78, 1205, 1261]",snapshot_3,Absent,01-08-2024 10:13
28,"[36, 97, 1285, 1340]",snapshot_3,Present,01-08-2024 10:13
1,"[345, 494, 492, 677]",snapshot_4,Present,01-08-2024 10:19
2,"[332, 496, 721, 951]",snapshot_4,Present,01-08-2024 10:19
3,"[315, 448, 966, 1146]",snapshot_4,Present,01-08-2024 10:19
4,"[300, 442, 1148, 1324]",snapshot_4,Present,01-08-2024 10:19
5,"[182, 285, 510, 648]",snapshot_4,Present,01-08-2024 10:19
6,"[172, 277, 660, 802]",snapshot_4,Present,01-08-2024 10:19
7,"[152, 260, 839, 958]",snapshot_4,Present,01-08-2024 10:19
8,"[142, 258, 986, 1114]",snapshot_4,Present,01-08-2024 10:19
9,"[144, 256, 1125, 1229]",snapshot_4,Present,01-08-2024 10:19
10,"[156, 257, 1220, 1334]",snapshot_4,Present,01-08-2024 10:19
11,"[56, 155, 505, 594]",snapshot_4,Present,01-08-2024 10:19
12,"[50, 145, 619, 714]",snapshot_4,Present,01-08-2024 10:19
13,"[69, 143, 734, 832]",snapshot_4,Present,01-08-2024 10:19
14,"[65, 154, 836, 953]",snapshot_4,Present,01-08-2024 10:19
15,"[58, 142, 982, 1078]",snapshot_4,Present,01-08-2024 10:19
16,"[58, 144, 1098, 1184]",snapshot_4,Present,01-08-2024 10:19
17,"[71, 153, 1200, 1299]",snapshot_4,Present,01-08-2024 10:19
