seat_number,seat_coordinates,snapshot,Snapshot status,Snapshot Time,camera
8,"[128, 178, 169, 276]",snapshot_1,Present,01-08-2024 09:51,transformed_cam2.csv
9,"[118, 175, 277, 361]",snapshot_1,Present,01-08-2024 09:51,transformed_cam2.csv
10,"[115, 178, 363, 471]",snapshot_1,Present,01-08-2024 09:51,transformed_cam2.csv
11,"[103, 170, 502, 592]",snapshot_1,Present,01-08-2024 09:52,transformed_cam2.csv
12,"[93, 171, 630, 727]",snapshot_1,Present,01-08-2024 09:52,transformed_cam2.csv
13,"[106, 176, 780, 883]",snapshot_1,Absent,01-08-2024 09:52,transformed_cam2.csv
14,"[108, 176, 921, 1035]",snapshot_1,Present,01-08-2024 09:52,transformed_cam2.csv
15,"[52, 115, 283, 357]",snapshot_1,Absent,01-08-2024 09:52,transformed_cam2.csv
16,"[62, 115, 364, 442]",snapshot_1,Present,01-08-2024 09:52,transformed_cam2.csv
17,"[57, 104, 485, 574]",snapshot_1,Absent,01-08-2024 09:52,transformed_cam2.csv
18,"[53, 97, 621, 703]",snapshot_1,Absent,01-08-2024 09:52,transformed_cam2.csv
19,"[44, 105, 721, 800]",snapshot_1,Absent,01-08-2024 09:52,transformed_cam2.csv
20,"[50, 100, 823, 912]",snapshot_1,Present,01-08-2024 09:52,transformed_cam2.csv
21,"[50, 105, 934, 1041]",snapshot_1,Absent,01-08-2024 09:52,transformed_cam2.csv
22,"[24, 64, 379, 450]",snapshot_1,Absent,01-08-2024 09:52,transformed_cam2.csv
23,"[14, 61, 467, 539]",snapshot_1,Absent,01-08-2024 09:53,transformed_cam2.csv
24,"[6, 53, 566, 638]",snapshot_1,Absent,01-08-2024 09:53,transformed_cam2.csv
25,"[9, 50, 665, 728]",snapshot_1,Absent,01-08-2024 09:53,transformed_cam2.csv
26,"[1, 54, 757, 826]",snapshot_1,Absent,01-08-2024 09:53,transformed_cam2.csv
27,"[4, 60, 837, 926]",snapshot_1,Absent,01-08-2024 09:53,transformed_cam2.csv
28,"[14, 51, 947, 1025]",snapshot_1,Present,01-08-2024 09:53,transformed_cam2.csv
1,"[200, 282, 64, 173]",snapshot_2,Absent,01-08-2024 10:05,transformed_cam2.csv
2,"[201, 286, 213, 309]",snapshot_2,Present,01-08-2024 10:05,transformed_cam2.csv
3,"[189, 280, 332, 427]",snapshot_2,Present,01-08-2024 10:05,transformed_cam2.csv
4,"[191, 293, 440, 561]",snapshot_2,Present,01-08-2024 10:06,transformed_cam2.csv
5,"[181, 292, 597, 725]",snapshot_2,Absent,01-08-2024 10:06,transformed_cam2.csv
6,"[183, 296, 779, 905]",snapshot_2,Present,01-08-2024 10:06,transformed_cam2.csv
7,"[193, 310, 952, 1089]",snapshot_2,Present,01-08-2024 10:06,transformed_cam2.csv
8,"[128, 178, 169, 276]",snapshot_2,Present,01-08-2024 10:06,transformed_cam2.csv
9,"[118, 175, 277, 361]",snapshot_2,Absent,01-08-2024 10:06,transformed_cam2.csv
10,"[115, 178, 363, 471]",snapshot_2,Present,01-08-2024 10:06,transformed_cam2.csv
11,"[103, 170, 502, 592]",snapshot_2,Present,01-08-2024 10:06,transformed_cam2.csv
12,"[93, 171, 630, 727]",snapshot_2,Present,01-08-2024 10:06,transformed_cam2.csv
13,"[106, 176, 780, 883]",snapshot_2,Absent,01-08-2024 10:06,transformed_cam2.csv
14,"[108, 176, 921, 1035]",snapshot_2,Present,01-08-2024 10:06,transformed_cam2.csv
15,"[52, 115, 283, 357]",snapshot_2,Present,01-08-2024 10:06,transformed_cam2.csv
16,"[62, 115, 364, 442]",snapshot_2,Present,01-08-2024 10:06,transformed_cam2.csv
17,"[57, 104, 485, 574]",snapshot_2,Absent,01-08-2024 10:06,transformed_cam2.csv
18,"[53, 97, 621, 703]",snapshot_2,Absent,01-08-2024 10:06,transformed_cam2.csv
19,"[44, 105, 721, 800]",snapshot_2,Absent,01-08-2024 10:06,transformed_cam2.csv
20,"[50, 100, 823, 912]",snapshot_2,Absent,01-08-2024 10:06,transformed_cam2.csv
