seat_number,seat_coordinates,snapshot,Snapshot status,Snapshot Time
1,"[200, 282, 64, 173]",snapshot_1,Present,01-08-2024 09:51
2,"[201, 286, 213, 309]",snapshot_1,Absent,01-08-2024 09:51
3,"[189, 280, 332, 427]",snapshot_1,Absent,01-08-2024 09:51
4,"[191, 293, 440, 561]",snapshot_1,Absent,01-08-2024 09:51
5,"[181, 292, 597, 725]",snapshot_1,Present,01-08-2024 09:51
6,"[183, 296, 779, 905]",snapshot_1,Present,01-08-2024 09:51
7,"[193, 310, 952, 1089]",snapshot_1,Present,01-08-2024 09:51
8,"[128, 178, 169, 276]",snapshot_1,Present,01-08-2024 09:51
9,"[118, 175, 277, 361]",snapshot_1,Present,01-08-2024 09:51
10,"[115, 178, 363, 471]",snapshot_1,Present,01-08-2024 09:51
11,"[103, 170, 502, 592]",snapshot_1,Present,01-08-2024 09:52
12,"[93, 171, 630, 727]",snapshot_1,Present,01-08-2024 09:52
13,"[106, 176, 780, 883]",snapshot_1,Absent,01-08-2024 09:52
14,"[108, 176, 921, 1035]",snapshot_1,Present,01-08-2024 09:52
15,"[52, 115, 283, 357]",snapshot_1,Absent,01-08-2024 09:52
16,"[62, 115, 364, 442]",snapshot_1,Present,01-08-2024 09:52
17,"[57, 104, 485, 574]",snapshot_1,Absent,01-08-2024 09:52
18,"[53, 97, 621, 703]",snapshot_1,Absent,01-08-2024 09:52
19,"[44, 105, 721, 800]",snapshot_1,Absent,01-08-2024 09:52
20,"[50, 100, 823, 912]",snapshot_1,Present,01-08-2024 09:52
21,"[50, 105, 934, 1041]",snapshot_1,Absent,01-08-2024 09:52
22,"[24, 64, 379, 450]",snapshot_1,Absent,01-08-2024 09:52
23,"[14, 61, 467, 539]",snapshot_1,Absent,01-08-2024 09:53
24,"[6, 53, 566, 638]",snapshot_1,Absent,01-08-2024 09:53
25,"[9, 50, 665, 728]",snapshot_1,Absent,01-08-2024 09:53
26,"[1, 54, 757, 826]",snapshot_1,Absent,01-08-2024 09:53
27,"[4, 60, 837, 926]",snapshot_1,Absent,01-08-2024 09:53
28,"[14, 51, 947, 1025]",snapshot_1,Present,01-08-2024 09:53
1,"[200, 282, 64, 173]",snapshot_2,Absent,01-08-2024 10:05
2,"[201, 286, 213, 309]",snapshot_2,Present,01-08-2024 10:05
3,"[189, 280, 332, 427]",snapshot_2,Present,01-08-2024 10:05
4,"[191, 293, 440, 561]",snapshot_2,Present,01-08-2024 10:06
5,"[181, 292, 597, 725]",snapshot_2,Absent,01-08-2024 10:06
6,"[183, 296, 779, 905]",snapshot_2,Present,01-08-2024 10:06
7,"[193, 310, 952, 1089]",snapshot_2,Present,01-08-2024 10:06
8,"[128, 178, 169, 276]",snapshot_2,Present,01-08-2024 10:06
9,"[118, 175, 277, 361]",snapshot_2,Absent,01-08-2024 10:06
10,"[115, 178, 363, 471]",snapshot_2,Present,01-08-2024 10:06
11,"[103, 170, 502, 592]",snapshot_2,Present,01-08-2024 10:06
12,"[93, 171, 630, 727]",snapshot_2,Present,01-08-2024 10:06
13,"[106, 176, 780, 883]",snapshot_2,Absent,01-08-2024 10:06
14,"[108, 176, 921, 1035]",snapshot_2,Present,01-08-2024 10:06
15,"[52, 115, 283, 357]",snapshot_2,Present,01-08-2024 10:06
16,"[62, 115, 364, 442]",snapshot_2,Present,01-08-2024 10:06
17,"[57, 104, 485, 574]",snapshot_2,Absent,01-08-2024 10:06
18,"[53, 97, 621, 703]",snapshot_2,Absent,01-08-2024 10:06
19,"[44, 105, 721, 800]",snapshot_2,Absent,01-08-2024 10:06
20,"[50, 100, 823, 912]",snapshot_2,Absent,01-08-2024 10:06
21,"[50, 105, 934, 1041]",snapshot_2,Absent,01-08-2024 10:06
22,"[24, 64, 379, 450]",snapshot_2,Present,01-08-2024 10:06
23,"[14, 61, 467, 539]",snapshot_2,Absent,01-08-2024 10:06
24,"[6, 53, 566, 638]",snapshot_2,Absent,01-08-2024 10:06
25,"[9, 50, 665, 728]",snapshot_2,Absent,01-08-2024 10:06
26,"[1, 54, 757, 826]",snapshot_2,Absent,01-08-2024 10:06
27,"[4, 60, 837, 926]",snapshot_2,Absent,01-08-2024 10:06
28,"[14, 51, 947, 1025]",snapshot_2,Present,01-08-2024 10:06
1,"[200, 282, 64, 173]",snapshot_3,Present,01-08-2024 10:12
2,"[201, 286, 213, 309]",snapshot_3,Present,01-08-2024 10:12
3,"[189, 280, 332, 427]",snapshot_3,Absent,01-08-2024 10:12
4,"[191, 293, 440, 561]",snapshot_3,Absent,01-08-2024 10:12
5,"[181, 292, 597, 725]",snapshot_3,Present,01-08-2024 10:12
6,"[183, 296, 779, 905]",snapshot_3,Present,01-08-2024 10:12
7,"[193, 310, 952, 1089]",snapshot_3,Present,01-08-2024 10:12
8,"[128, 178, 169, 276]",snapshot_3,Present,01-08-2024 10:12
9,"[118, 175, 277, 361]",snapshot_3,Present,01-08-2024 10:12
10,"[115, 178, 363, 471]",snapshot_3,Present,01-08-2024 10:12
11,"[103, 170, 502, 592]",snapshot_3,Present,01-08-2024 10:12
12,"[93, 171, 630, 727]",snapshot_3,Absent,01-08-2024 10:12
13,"[106, 176, 780, 883]",snapshot_3,Absent,01-08-2024 10:12
14,"[108, 176, 921, 1035]",snapshot_3,Present,01-08-2024 10:12
15,"[52, 115, 283, 357]",snapshot_3,Present,01-08-2024 10:12
16,"[62, 115, 364, 442]",snapshot_3,Absent,01-08-2024 10:12
17,"[57, 104, 485, 574]",snapshot_3,Absent,01-08-2024 10:12
18,"[53, 97, 621, 703]",snapshot_3,Present,01-08-2024 10:12
19,"[44, 105, 721, 800]",snapshot_3,Absent,01-08-2024 10:12
20,"[50, 100, 823, 912]",snapshot_3,Present,01-08-2024 10:12
21,"[50, 105, 934, 1041]",snapshot_3,Present,01-08-2024 10:12
22,"[24, 64, 379, 450]",snapshot_3,Present,01-08-2024 10:12
23,"[14, 61, 467, 539]",snapshot_3,Absent,01-08-2024 10:12
24,"[6, 53, 566, 638]",snapshot_3,Present,01-08-2024 10:12
25,"[9, 50, 665, 728]",snapshot_3,Absent,01-08-2024 10:12
26,"[1, 54, 757, 826]",snapshot_3,Absent,01-08-2024 10:12
27,"[4, 60, 837, 926]",snapshot_3,Absent,01-08-2024 10:12
28,"[14, 51, 947, 1025]",snapshot_3,Present,01-08-2024 10:12
1,"[200, 282, 64, 173]",snapshot_4,Present,01-08-2024 10:18
2,"[201, 286, 213, 309]",snapshot_4,Absent,01-08-2024 10:18
3,"[189, 280, 332, 427]",snapshot_4,Absent,01-08-2024 10:18
4,"[191, 293, 440, 561]",snapshot_4,Present,01-08-2024 10:18
5,"[181, 292, 597, 725]",snapshot_4,Present,01-08-2024 10:18
6,"[183, 296, 779, 905]",snapshot_4,Present,01-08-2024 10:18
7,"[193, 310, 952, 1089]",snapshot_4,Present,01-08-2024 10:18
8,"[128, 178, 169, 276]",snapshot_4,Present,01-08-2024 10:18
9,"[118, 175, 277, 361]",snapshot_4,Present,01-08-2024 10:18
10,"[115, 178, 363, 471]",snapshot_4,Present,01-08-2024 10:18
11,"[103, 170, 502, 592]",snapshot_4,Present,01-08-2024 10:18
12,"[93, 171, 630, 727]",snapshot_4,Present,01-08-2024 10:18
13,"[106, 176, 780, 883]",snapshot_4,Present,01-08-2024 10:18
14,"[108, 176, 921, 1035]",snapshot_4,Present,01-08-2024 10:18
15,"[52, 115, 283, 357]",snapshot_4,Absent,01-08-2024 10:18
16,"[62, 115, 364, 442]",snapshot_4,Present,01-08-2024 10:18
17,"[57, 104, 485, 574]",snapshot_4,Absent,01-08-2024 10:18
18,"[53, 97, 621, 703]",snapshot_4,Absent,01-08-2024 10:18
19,"[44, 105, 721, 800]",snapshot_4,Absent,01-08-2024 10:18
20,"[50, 100, 823, 912]",snapshot_4,Present,01-08-2024 10:18
21,"[50, 105, 934, 1041]",snapshot_4,Absent,01-08-2024 10:18
22,"[24, 64, 379, 450]",snapshot_4,Present,01-08-2024 10:18
23,"[14, 61, 467, 539]",snapshot_4,Absent,01-08-2024 10:18
24,"[6, 53, 566, 638]",snapshot_4,Absent,01-08-2024 10:18
25,"[9, 50, 665, 728]",snapshot_4,Absent,01-08-2024 10:18
26,"[1, 54, 757, 826]",snapshot_4,Absent,01-08-2024 10:18
27,"[4, 60, 837, 926]",snapshot_4,Present,01-08-2024 10:18
28,"[14, 51, 947, 1025]",snapshot_4,Absent,01-08-2024 10:18
1,"[200, 282, 64, 173]",snapshot_5,Absent,01-08-2024 10:24
2,"[201, 286, 213, 309]",snapshot_5,Absent,01-08-2024 10:24
3,"[189, 280, 332, 427]",snapshot_5,Absent,01-08-2024 10:24
4,"[191, 293, 440, 561]",snapshot_5,Absent,01-08-2024 10:24
5,"[181, 292, 597, 725]",snapshot_5,Absent,01-08-2024 10:24
6,"[183, 296, 779, 905]",snapshot_5,Present,01-08-2024 10:24
7,"[193, 310, 952, 1089]",snapshot_5,Absent,01-08-2024 10:24
8,"[128, 178, 169, 276]",snapshot_5,Absent,01-08-2024 10:24
9,"[118, 175, 277, 361]",snapshot_5,Present,01-08-2024 10:24
10,"[115, 178, 363, 471]",snapshot_5,Present,01-08-2024 10:24
11,"[103, 170, 502, 592]",snapshot_5,Absent,01-08-2024 10:24
12,"[93, 171, 630, 727]",snapshot_5,Absent,01-08-2024 10:24
13,"[106, 176, 780, 883]",snapshot_5,Absent,01-08-2024 10:24
14,"[108, 176, 921, 1035]",snapshot_5,Absent,01-08-2024 10:24
15,"[52, 115, 283, 357]",snapshot_5,Absent,01-08-2024 10:24
16,"[62, 115, 364, 442]",snapshot_5,Absent,01-08-2024 10:24
17,"[57, 104, 485, 574]",snapshot_5,Absent,01-08-2024 10:24
18,"[53, 97, 621, 703]",snapshot_5,Absent,01-08-2024 10:24
19,"[44, 105, 721, 800]",snapshot_5,Absent,01-08-2024 10:24
20,"[50, 100, 823, 912]",snapshot_5,Absent,01-08-2024 10:24
21,"[50, 105, 934, 1041]",snapshot_5,Absent,01-08-2024 10:24
22,"[24, 64, 379, 450]",snapshot_5,Absent,01-08-2024 10:24
23,"[14, 61, 467, 539]",snapshot_5,Absent,01-08-2024 10:24
24,"[6, 53, 566, 638]",snapshot_5,Present,01-08-2024 10:24
25,"[9, 50, 665, 728]",snapshot_5,Absent,01-08-2024 10:24
26,"[1, 54, 757, 826]",snapshot_5,Absent,01-08-2024 10:24
27,"[4, 60, 837, 926]",snapshot_5,Absent,01-08-2024 10:24
28,"[14, 51, 947, 1025]",snapshot_5,Absent,01-08-2024 10:24
