seat_number,seat_coordinates,snapshot,Snapshot status,Snapshot Time
1,"[328, 492, 312, 498]",snapshot_1,Present,01-08-2024 09:49
2,"[353, 536, 514, 750]",snapshot_1,Present,01-08-2024 09:49
3,"[414, 601, 869, 1089]",snapshot_1,Present,01-08-2024 09:49
4,"[435, 653, 1277, 1526]",snapshot_1,Present,01-08-2024 09:49
5,"[178, 289, 293, 435]",snapshot_1,Present,01-08-2024 09:49
6,"[195, 296, 451, 600]",snapshot_1,Present,01-08-2024 09:49
7,"[196, 323, 613, 808]",snapshot_1,Present,01-08-2024 09:49
8,"[222, 355, 845, 1034]",snapshot_1,Absent,01-08-2024 09:49
9,"[243, 384, 1171, 1356]",snapshot_1,Present,01-08-2024 09:49
10,"[276, 419, 1428, 1597]",snapshot_1,Present,01-08-2024 09:49
11,"[89, 154, 248, 352]",snapshot_1,Absent,01-08-2024 09:49
12,"[93, 163, 379, 479]",snapshot_1,Present,01-08-2024 09:49
13,"[99, 169, 510, 637]",snapshot_1,Present,01-08-2024 09:49
14,"[106, 196, 653, 792]",snapshot_1,Present,01-08-2024 09:50
15,"[117, 202, 850, 1011]",snapshot_1,Present,01-08-2024 09:50
16,"[130, 215, 1059, 1166]",snapshot_1,Absent,01-08-2024 09:50
17,"[128, 230, 1193, 1335]",snapshot_1,Present,01-08-2024 09:50
18,"[162, 265, 1431, 1574]",snapshot_1,Absent,01-08-2024 09:50
19,"[35, 90, 252, 315]",snapshot_1,Absent,01-08-2024 09:50
20,"[27, 90, 337, 437]",snapshot_1,Present,01-08-2024 09:50
21,"[33, 94, 479, 579]",snapshot_1,Absent,01-08-2024 09:50
22,"[41, 100, 588, 693]",snapshot_1,Absent,01-08-2024 09:50
23,"[40, 116, 810, 958]",snapshot_1,Present,01-08-2024 09:50
24,"[34, 124, 966, 1084]",snapshot_1,Absent,01-08-2024 09:50
25,"[55, 135, 1135, 1251]",snapshot_1,Present,01-08-2024 09:50
26,"[53, 143, 1130, 1259]",snapshot_1,Present,01-08-2024 09:50
27,"[56, 144, 1265, 1391]",snapshot_1,Absent,01-08-2024 09:50
28,"[67, 159, 1406, 1542]",snapshot_1,Present,01-08-2024 09:51
1,"[328, 492, 312, 498]",snapshot_2,Present,01-08-2024 10:04
2,"[353, 536, 514, 750]",snapshot_2,Present,01-08-2024 10:04
3,"[414, 601, 869, 1089]",snapshot_2,Present,01-08-2024 10:04
4,"[435, 653, 1277, 1526]",snapshot_2,Present,01-08-2024 10:05
5,"[178, 289, 293, 435]",snapshot_2,Present,01-08-2024 10:05
6,"[195, 296, 451, 600]",snapshot_2,Present,01-08-2024 10:05
7,"[196, 323, 613, 808]",snapshot_2,Present,01-08-2024 10:05
8,"[222, 355, 845, 1034]",snapshot_2,Absent,01-08-2024 10:05
9,"[243, 384, 1171, 1356]",snapshot_2,Present,01-08-2024 10:05
10,"[276, 419, 1428, 1597]",snapshot_2,Present,01-08-2024 10:05
11,"[89, 154, 248, 352]",snapshot_2,Absent,01-08-2024 10:05
12,"[93, 163, 379, 479]",snapshot_2,Present,01-08-2024 10:05
13,"[99, 169, 510, 637]",snapshot_2,Present,01-08-2024 10:05
14,"[106, 196, 653, 792]",snapshot_2,Present,01-08-2024 10:05
15,"[117, 202, 850, 1011]",snapshot_2,Present,01-08-2024 10:05
16,"[130, 215, 1059, 1166]",snapshot_2,Present,01-08-2024 10:05
17,"[128, 230, 1193, 1335]",snapshot_2,Present,01-08-2024 10:05
18,"[162, 265, 1431, 1574]",snapshot_2,Present,01-08-2024 10:05
19,"[35, 90, 252, 315]",snapshot_2,Absent,01-08-2024 10:05
20,"[27, 90, 337, 437]",snapshot_2,Present,01-08-2024 10:05
21,"[33, 94, 479, 579]",snapshot_2,Absent,01-08-2024 10:05
22,"[41, 100, 588, 693]",snapshot_2,Present,01-08-2024 10:05
23,"[40, 116, 810, 958]",snapshot_2,Present,01-08-2024 10:05
24,"[34, 124, 966, 1084]",snapshot_2,Absent,01-08-2024 10:05
25,"[55, 135, 1135, 1251]",snapshot_2,Absent,01-08-2024 10:05
26,"[53, 143, 1130, 1259]",snapshot_2,Absent,01-08-2024 10:05
27,"[56, 144, 1265, 1391]",snapshot_2,Present,01-08-2024 10:05
28,"[67, 159, 1406, 1542]",snapshot_2,Present,01-08-2024 10:05
1,"[328, 492, 312, 498]",snapshot_3,Present,01-08-2024 10:11
2,"[353, 536, 514, 750]",snapshot_3,Present,01-08-2024 10:11
3,"[414, 601, 869, 1089]",snapshot_3,Absent,01-08-2024 10:11
4,"[435, 653, 1277, 1526]",snapshot_3,Present,01-08-2024 10:11
5,"[178, 289, 293, 435]",snapshot_3,Present,01-08-2024 10:11
6,"[195, 296, 451, 600]",snapshot_3,Present,01-08-2024 10:11
7,"[196, 323, 613, 808]",snapshot_3,Present,01-08-2024 10:11
8,"[222, 355, 845, 1034]",snapshot_3,Absent,01-08-2024 10:11
9,"[243, 384, 1171, 1356]",snapshot_3,Present,01-08-2024 10:11
10,"[276, 419, 1428, 1597]",snapshot_3,Present,01-08-2024 10:11
11,"[89, 154, 248, 352]",snapshot_3,Absent,01-08-2024 10:11
12,"[93, 163, 379, 479]",snapshot_3,Present,01-08-2024 10:11
13,"[99, 169, 510, 637]",snapshot_3,Absent,01-08-2024 10:11
14,"[106, 196, 653, 792]",snapshot_3,Absent,01-08-2024 10:11
15,"[117, 202, 850, 1011]",snapshot_3,Present,01-08-2024 10:11
16,"[130, 215, 1059, 1166]",snapshot_3,Absent,01-08-2024 10:11
17,"[128, 230, 1193, 1335]",snapshot_3,Present,01-08-2024 10:11
18,"[162, 265, 1431, 1574]",snapshot_3,Present,01-08-2024 10:11
19,"[35, 90, 252, 315]",snapshot_3,Absent,01-08-2024 10:11
20,"[27, 90, 337, 437]",snapshot_3,Present,01-08-2024 10:11
21,"[33, 94, 479, 579]",snapshot_3,Absent,01-08-2024 10:11
22,"[41, 100, 588, 693]",snapshot_3,Absent,01-08-2024 10:11
23,"[40, 116, 810, 958]",snapshot_3,Absent,01-08-2024 10:11
24,"[34, 124, 966, 1084]",snapshot_3,Absent,01-08-2024 10:11
25,"[55, 135, 1135, 1251]",snapshot_3,Absent,01-08-2024 10:11
26,"[53, 143, 1130, 1259]",snapshot_3,Absent,01-08-2024 10:11
27,"[56, 144, 1265, 1391]",snapshot_3,Present,01-08-2024 10:12
28,"[67, 159, 1406, 1542]",snapshot_3,Present,01-08-2024 10:12
1,"[328, 492, 312, 498]",snapshot_4,Present,01-08-2024 10:17
2,"[353, 536, 514, 750]",snapshot_4,Present,01-08-2024 10:17
3,"[414, 601, 869, 1089]",snapshot_4,Present,01-08-2024 10:17
4,"[435, 653, 1277, 1526]",snapshot_4,Present,01-08-2024 10:17
5,"[178, 289, 293, 435]",snapshot_4,Present,01-08-2024 10:17
6,"[195, 296, 451, 600]",snapshot_4,Present,01-08-2024 10:17
7,"[196, 323, 613, 808]",snapshot_4,Present,01-08-2024 10:17
8,"[222, 355, 845, 1034]",snapshot_4,Absent,01-08-2024 10:17
9,"[243, 384, 1171, 1356]",snapshot_4,Present,01-08-2024 10:17
10,"[276, 419, 1428, 1597]",snapshot_4,Present,01-08-2024 10:17
11,"[89, 154, 248, 352]",snapshot_4,Absent,01-08-2024 10:17
12,"[93, 163, 379, 479]",snapshot_4,Present,01-08-2024 10:17
13,"[99, 169, 510, 637]",snapshot_4,Present,01-08-2024 10:17
14,"[106, 196, 653, 792]",snapshot_4,Present,01-08-2024 10:17
15,"[117, 202, 850, 1011]",snapshot_4,Present,01-08-2024 10:17
16,"[130, 215, 1059, 1166]",snapshot_4,Absent,01-08-2024 10:17
17,"[128, 230, 1193, 1335]",snapshot_4,Present,01-08-2024 10:17
18,"[162, 265, 1431, 1574]",snapshot_4,Present,01-08-2024 10:17
19,"[35, 90, 252, 315]",snapshot_4,Absent,01-08-2024 10:17
20,"[27, 90, 337, 437]",snapshot_4,Absent,01-08-2024 10:17
21,"[33, 94, 479, 579]",snapshot_4,Absent,01-08-2024 10:17
22,"[41, 100, 588, 693]",snapshot_4,Absent,01-08-2024 10:17
23,"[40, 116, 810, 958]",snapshot_4,Present,01-08-2024 10:17
24,"[34, 124, 966, 1084]",snapshot_4,Present,01-08-2024 10:17
25,"[55, 135, 1135, 1251]",snapshot_4,Present,01-08-2024 10:17
26,"[53, 143, 1130, 1259]",snapshot_4,Present,01-08-2024 10:17
27,"[56, 144, 1265, 1391]",snapshot_4,Absent,01-08-2024 10:18
28,"[67, 159, 1406, 1542]",snapshot_4,Present,01-08-2024 10:18
1,"[328, 492, 312, 498]",snapshot_5,Present,01-08-2024 10:23
2,"[353, 536, 514, 750]",snapshot_5,Present,01-08-2024 10:23
3,"[414, 601, 869, 1089]",snapshot_5,Absent,01-08-2024 10:23
4,"[435, 653, 1277, 1526]",snapshot_5,Present,01-08-2024 10:23
5,"[178, 289, 293, 435]",snapshot_5,Absent,01-08-2024 10:23
6,"[195, 296, 451, 600]",snapshot_5,Present,01-08-2024 10:23
7,"[196, 323, 613, 808]",snapshot_5,Absent,01-08-2024 10:23
8,"[222, 355, 845, 1034]",snapshot_5,Absent,01-08-2024 10:23
9,"[243, 384, 1171, 1356]",snapshot_5,Absent,01-08-2024 10:23
10,"[276, 419, 1428, 1597]",snapshot_5,Present,01-08-2024 10:23
11,"[89, 154, 248, 352]",snapshot_5,Absent,01-08-2024 10:23
12,"[93, 163, 379, 479]",snapshot_5,Absent,01-08-2024 10:23
13,"[99, 169, 510, 637]",snapshot_5,Absent,01-08-2024 10:23
14,"[106, 196, 653, 792]",snapshot_5,Absent,01-08-2024 10:23
15,"[117, 202, 850, 1011]",snapshot_5,Absent,01-08-2024 10:23
16,"[130, 215, 1059, 1166]",snapshot_5,Absent,01-08-2024 10:23
17,"[128, 230, 1193, 1335]",snapshot_5,Absent,01-08-2024 10:23
18,"[162, 265, 1431, 1574]",snapshot_5,Absent,01-08-2024 10:23
19,"[35, 90, 252, 315]",snapshot_5,Absent,01-08-2024 10:23
20,"[27, 90, 337, 437]",snapshot_5,Absent,01-08-2024 10:23
21,"[33, 94, 479, 579]",snapshot_5,Absent,01-08-2024 10:23
22,"[41, 100, 588, 693]",snapshot_5,Absent,01-08-2024 10:23
23,"[40, 116, 810, 958]",snapshot_5,Absent,01-08-2024 10:23
24,"[34, 124, 966, 1084]",snapshot_5,Absent,01-08-2024 10:23
25,"[55, 135, 1135, 1251]",snapshot_5,Present,01-08-2024 10:23
26,"[53, 143, 1130, 1259]",snapshot_5,Present,01-08-2024 10:23
27,"[56, 144, 1265, 1391]",snapshot_5,Absent,01-08-2024 10:24
28,"[67, 159, 1406, 1542]",snapshot_5,Absent,01-08-2024 10:24
