seat_number,seat_coordinates,snapshot,Snapshot status,Snapshot Time
1,"[356, 458, 146, 264]",snapshot_1,Present,01-08-2024 09:59
2,"[355, 475, 261, 345]",snapshot_1,Present,01-08-2024 09:59
3,"[389, 513, 364, 472]",snapshot_1,Absent,01-08-2024 09:59
4,"[405, 561, 527, 692]",snapshot_1,Absent,01-08-2024 09:59
5,"[399, 584, 737, 892]",snapshot_1,Present,01-08-2024 09:59
6,"[404, 607, 1001, 1201]",snapshot_1,Present,01-08-2024 09:59
7,"[429, 618, 1245, 1456]",snapshot_1,Present,01-08-2024 10:00
8,"[270, 346, 271, 347]",snapshot_1,Absent,01-08-2024 10:00
9,"[270, 353, 401, 535]",snapshot_1,Present,01-08-2024 10:00
10,"[233, 334, 542, 673]",snapshot_1,Present,01-08-2024 10:00
11,"[235, 343, 685, 834]",snapshot_1,Present,01-08-2024 10:00
12,"[239, 349, 874, 1014]",snapshot_1,Present,01-08-2024 10:00
13,"[238, 355, 1065, 1223]",snapshot_1,Present,01-08-2024 10:00
14,"[219, 377, 1286, 1455]",snapshot_1,Present,01-08-2024 10:00
15,"[179, 239, 454, 560]",snapshot_1,Absent,01-08-2024 10:00
16,"[161, 230, 566, 657]",snapshot_1,Absent,01-08-2024 10:00
17,"[158, 222, 663, 785]",snapshot_1,Present,01-08-2024 10:00
18,"[143, 217, 814, 940]",snapshot_1,Absent,01-08-2024 10:01
19,"[127, 214, 955, 1073]",snapshot_1,Present,01-08-2024 10:01
20,"[141, 228, 1109, 1243]",snapshot_1,Present,01-08-2024 10:01
21,"[138, 218, 1286, 1407]",snapshot_1,Present,01-08-2024 10:01
22,"[120, 161, 566, 655]",snapshot_1,Absent,01-08-2024 10:01
23,"[108, 161, 655, 761]",snapshot_1,Present,01-08-2024 10:01
24,"[86, 141, 767, 863]",snapshot_1,Present,01-08-2024 10:01
25,"[81, 137, 874, 963]",snapshot_1,Absent,01-08-2024 10:01
26,"[74, 141, 1015, 1113]",snapshot_1,Present,01-08-2024 10:01
27,"[69, 136, 1139, 1231]",snapshot_1,Absent,01-08-2024 10:01
28,"[87, 138, 1267, 1373]",snapshot_1,Present,01-08-2024 10:01
1,"[356, 458, 146, 264]",snapshot_2,Present,01-08-2024 10:09
2,"[355, 475, 261, 345]",snapshot_2,Present,01-08-2024 10:09
3,"[389, 513, 364, 472]",snapshot_2,Absent,01-08-2024 10:09
4,"[405, 561, 527, 692]",snapshot_2,Present,01-08-2024 10:09
5,"[399, 584, 737, 892]",snapshot_2,Present,01-08-2024 10:09
6,"[404, 607, 1001, 1201]",snapshot_2,Present,01-08-2024 10:09
7,"[429, 618, 1245, 1456]",snapshot_2,Present,01-08-2024 10:09
8,"[270, 346, 271, 347]",snapshot_2,Absent,01-08-2024 10:09
9,"[270, 353, 401, 535]",snapshot_2,Absent,01-08-2024 10:09
10,"[233, 334, 542, 673]",snapshot_2,Present,01-08-2024 10:09
11,"[235, 343, 685, 834]",snapshot_2,Present,01-08-2024 10:09
12,"[239, 349, 874, 1014]",snapshot_2,Present,01-08-2024 10:09
13,"[238, 355, 1065, 1223]",snapshot_2,Present,01-08-2024 10:09
14,"[219, 377, 1286, 1455]",snapshot_2,Absent,01-08-2024 10:09
15,"[179, 239, 454, 560]",snapshot_2,Present,01-08-2024 10:09
16,"[161, 230, 566, 657]",snapshot_2,Present,01-08-2024 10:09
17,"[158, 222, 663, 785]",snapshot_2,Absent,01-08-2024 10:09
18,"[143, 217, 814, 940]",snapshot_2,Absent,01-08-2024 10:09
19,"[127, 214, 955, 1073]",snapshot_2,Present,01-08-2024 10:09
20,"[141, 228, 1109, 1243]",snapshot_2,Present,01-08-2024 10:09
21,"[138, 218, 1286, 1407]",snapshot_2,Present,01-08-2024 10:09
22,"[120, 161, 566, 655]",snapshot_2,Present,01-08-2024 10:09
23,"[108, 161, 655, 761]",snapshot_2,Absent,01-08-2024 10:09
24,"[86, 141, 767, 863]",snapshot_2,Present,01-08-2024 10:09
25,"[81, 137, 874, 963]",snapshot_2,Present,01-08-2024 10:09
26,"[74, 141, 1015, 1113]",snapshot_2,Present,01-08-2024 10:09
27,"[69, 136, 1139, 1231]",snapshot_2,Absent,01-08-2024 10:09
28,"[87, 138, 1267, 1373]",snapshot_2,Present,01-08-2024 10:09
1,"[356, 458, 146, 264]",snapshot_3,Present,01-08-2024 10:15
2,"[355, 475, 261, 345]",snapshot_3,Present,01-08-2024 10:15
3,"[389, 513, 364, 472]",snapshot_3,Present,01-08-2024 10:15
4,"[405, 561, 527, 692]",snapshot_3,Present,01-08-2024 10:15
5,"[399, 584, 737, 892]",snapshot_3,Present,01-08-2024 10:15
6,"[404, 607, 1001, 1201]",snapshot_3,Present,01-08-2024 10:15
7,"[429, 618, 1245, 1456]",snapshot_3,Present,01-08-2024 10:15
8,"[270, 346, 271, 347]",snapshot_3,Absent,01-08-2024 10:15
9,"[270, 353, 401, 535]",snapshot_3,Present,01-08-2024 10:15
10,"[233, 334, 542, 673]",snapshot_3,Present,01-08-2024 10:15
11,"[235, 343, 685, 834]",snapshot_3,Present,01-08-2024 10:15
12,"[239, 349, 874, 1014]",snapshot_3,Present,01-08-2024 10:15
13,"[238, 355, 1065, 1223]",snapshot_3,Present,01-08-2024 10:15
14,"[219, 377, 1286, 1455]",snapshot_3,Present,01-08-2024 10:15
15,"[179, 239, 454, 560]",snapshot_3,Present,01-08-2024 10:15
16,"[161, 230, 566, 657]",snapshot_3,Present,01-08-2024 10:15
17,"[158, 222, 663, 785]",snapshot_3,Present,01-08-2024 10:15
18,"[143, 217, 814, 940]",snapshot_3,Present,01-08-2024 10:15
19,"[127, 214, 955, 1073]",snapshot_3,Present,01-08-2024 10:15
20,"[141, 228, 1109, 1243]",snapshot_3,Present,01-08-2024 10:15
21,"[138, 218, 1286, 1407]",snapshot_3,Present,01-08-2024 10:15
22,"[120, 161, 566, 655]",snapshot_3,Present,01-08-2024 10:15
23,"[108, 161, 655, 761]",snapshot_3,Present,01-08-2024 10:15
24,"[86, 141, 767, 863]",snapshot_3,Present,01-08-2024 10:15
25,"[81, 137, 874, 963]",snapshot_3,Absent,01-08-2024 10:15
26,"[74, 141, 1015, 1113]",snapshot_3,Absent,01-08-2024 10:15
