seat_number,seat_coordinates,snapshot,Snapshot status,Snapshot Time
8,"[255, 349, 1387, 1483]",snapshot_3,Present,01-08-2024 10:14
9,"[261, 339, 1489, 1589]",snapshot_3,Absent,01-08-2024 10:14
10,"[269, 329, 1565, 1661]",snapshot_3,Absent,01-08-2024 10:14
11,"[245, 302, 67, 149]",snapshot_3,Absent,01-08-2024 10:14
12,"[223, 289, 168, 266]",snapshot_3,Present,01-08-2024 10:14
13,"[210, 280, 293, 408]",snapshot_3,Present,01-08-2024 10:14
14,"[199, 266, 472, 587]",snapshot_3,Present,01-08-2024 10:14
15,"[182, 249, 601, 750]",snapshot_3,Present,01-08-2024 10:14
16,"[183, 252, 773, 894]",snapshot_3,Absent,01-08-2024 10:14
17,"[172, 246, 925, 1021]",snapshot_3,Absent,01-08-2024 10:14
18,"[175, 242, 1048, 1161]",snapshot_3,Present,01-08-2024 10:14
19,"[188, 240, 1211, 1321]",snapshot_3,Present,01-08-2024 10:14
20,"[183, 247, 1334, 1421]",snapshot_3,Present,01-08-2024 10:14
21,"[194, 246, 1430, 1517]",snapshot_3,Present,01-08-2024 10:14
22,"[163, 203, 258, 351]",snapshot_3,Absent,01-08-2024 10:14
23,"[143, 205, 379, 483]",snapshot_3,Present,01-08-2024 10:14
24,"[131, 193, 490, 577]",snapshot_3,Absent,01-08-2024 10:14
25,"[121, 181, 607, 702]",snapshot_3,Present,01-08-2024 10:14
26,"[129, 188, 726, 812]",snapshot_3,Present,01-08-2024 10:14
27,"[123, 175, 825, 930]",snapshot_3,Present,01-08-2024 10:14
28,"[118, 178, 942, 1040]",snapshot_3,Absent,01-08-2024 10:14
29,"[121, 168, 1069, 1147]",snapshot_3,Present,01-08-2024 10:14
30,"[115, 177, 1164, 1252]",snapshot_3,Present,01-08-2024 10:14
31,"[114, 154, 340, 404]",snapshot_3,Absent,01-08-2024 10:14
32,"[105, 146, 424, 503]",snapshot_3,Present,01-08-2024 10:14
33,"[91, 138, 544, 633]",snapshot_3,Present,01-08-2024 10:14
34,"[84, 132, 668, 752]",snapshot_3,Absent,01-08-2024 10:14
35,"[80, 132, 782, 853]",snapshot_3,Present,01-08-2024 10:14
36,"[83, 131, 901, 963]",snapshot_3,Absent,01-08-2024 10:14
37,"[87, 130, 999, 1072]",snapshot_3,Present,01-08-2024 10:15
38,"[119, 167, 256, 330]",snapshot_3,Absent,01-08-2024 10:15
1,"[289, 404, 197, 347]",snapshot_4,Present,01-08-2024 10:20
2,"[298, 405, 386, 525]",snapshot_4,Present,01-08-2024 10:20
3,"[270, 374, 599, 738]",snapshot_4,Present,01-08-2024 10:20
4,"[278, 384, 768, 951]",snapshot_4,Present,01-08-2024 10:20
5,"[253, 366, 978, 1106]",snapshot_4,Present,01-08-2024 10:20
6,"[255, 355, 1117, 1238]",snapshot_4,Present,01-08-2024 10:20
7,"[248, 351, 1278, 1378]",snapshot_4,Absent,01-08-2024 10:20
8,"[255, 349, 1387, 1483]",snapshot_4,Present,01-08-2024 10:20
9,"[261, 339, 1489, 1589]",snapshot_4,Present,01-08-2024 10:20
10,"[269, 329, 1565, 1661]",snapshot_4,Present,01-08-2024 10:20
11,"[245, 302, 67, 149]",snapshot_4,Absent,01-08-2024 10:20
